,Dates,SP500,VIX,log_return,volatility,momentum_10,sma_50,sma_200,sma_diff,14_day_rsi
199,2000-10-16,1374.6199951171875,26.790000915527344,0.0003273812619367224,0.013472677710885811,-0.04289701941151136,1462.1763989257813,1444.7832482910155,17.39315063476579,38.33150331867335
200,2000-10-17,1349.969970703125,27.84000015258789,-0.01809497745525861,0.013534368856405223,-0.05362224831330287,1459.5893994140624,1444.2569982910156,15.332401123046793,34.64069917205113
201,2000-10-18,1342.1300048828125,28.719999313354492,-0.0058244404405869265,0.01353394438715001,-0.06427432153109769,1456.7759985351563,1443.9705480957032,12.805450439453125,24.241622016389726
202,2000-10-19,1388.760009765625,25.09000015258789,0.034153361859011896,0.01599315002003114,-0.033085483723193754,1455.093798828125,1443.9037982177733,11.190000610351717,40.46259235852663
203,2000-10-20,1396.9300537109375,24.239999771118164,0.005865740397982498,0.016088947311343523,-0.008559277643577445,1453.8273999023438,1443.8711987304687,9.956201171875136,42.39022681470913
204,2000-10-23,1395.780029296875,24.690000534057617,-0.0008235903082565529,0.01604855985273931,-0.004457821779419668,1452.306201171875,1443.6427490234375,8.6634521484375,43.85418276500887
205,2000-10-24,1398.1300048828125,24.280000686645508,0.001682213178921447,0.015983123320899854,0.008009967552824016,1450.4376000976563,1443.3453991699218,7.092200927734439,42.586765460450316
206,2000-10-25,1364.9000244140625,26.649999618530273,-0.024054449199316687,0.016789255733471283,0.00022721740707187799,1448.0469995117187,1442.9770989990234,5.0699005126953125,37.03878401364691
207,2000-10-26,1364.43994140625,28.6200008392334,-0.0003371386620443132,0.015809028169228634,0.026064395122328277,1445.738798828125,1442.6380487060546,3.1007501220703944,41.037290553145006
208,2000-10-27,1379.5799560546875,26.469999313354492,0.011035028060664311,0.015866883123388527,0.00393685783881792,1443.4089990234374,1442.2875482177735,1.121450805663926,45.627348762630355
209,2000-10-30,1398.6600341796875,25.459999084472656,0.013735586682098207,0.016252382138588407,0.017488498019738508,1441.5478002929688,1441.9550982666015,-0.40729797363269427,52.231767752916134
210,2000-10-31,1429.4000244140625,23.6299991607666,0.021740133035877476,0.016982374044736157,0.058838385619471856,1440.146201171875,1441.8263983154297,-1.6801971435547784,62.04244628663038
211,2000-11-01,1421.219970703125,24.280000686645508,-0.005739155817162053,0.016980430041150782,0.05892869210327967,1438.6080004882813,1441.652998046875,-3.04499755859365,68.8566906014095
212,2000-11-02,1428.3199462890625,23.920000076293945,0.004983253778122986,0.017020108616095674,0.02848579757859948,1437.055,1441.566748046875,-4.511748046875027,63.19633926202169
213,2000-11-03,1426.68994140625,23.670000076293945,-0.0011418559823153857,0.016433363833124118,0.021303777963868287,1435.42259765625,1441.4933978271483,-6.0708001708983375,62.6168865625782
214,2000-11-06,1432.18994140625,24.520000457763672,0.0038476655269594883,0.016393964769231818,0.02608570931317633,1433.9373974609375,1441.6466973876952,-7.709299926757694,71.96043934833301
215,2000-11-07,1431.8699951171875,24.90999984741211,-0.00022342150477599917,0.01616149683505427,0.024132226700336767,1432.292998046875,1441.755897216797,-9.462899169921911,74.97214560376102
216,2000-11-08,1409.280029296875,25.65999984741211,-0.015902322423898215,0.016138345407788385,0.032515205574755734,1430.2817993164062,1441.7818475341796,-11.500048217773383,56.59213618153354
217,2000-11-09,1400.1400146484375,27.200000762939453,-0.006506714376939785,0.014942157389450518,0.026164635143554493,1428.2328002929687,1441.789747314453,-13.556947021484348,51.02482559725632
218,2000-11-10,1365.97998046875,28.530000686645508,-0.02470013662903212,0.014336351759812608,-0.009858055364062146,1425.198798828125,1441.8188470458983,-16.620048217773274,42.14217107601032
219,2000-11-13,1351.260009765625,29.059999465942383,-0.01083460772864791,0.014526687315242318,-0.0338895966537448,1421.8085986328124,1441.602847290039,-19.794248657226717,38.39794815142052
220,2000-11-14,1382.949951171875,26.809999465942383,0.02318136570591192,0.014876643415008892,-0.032496202916484695,1419.3259985351563,1441.471196899414,-22.145198364257794,54.50234975369759
221,2000-11-15,1389.81005859375,26.149999618530273,0.004948225879737868,0.014803507266132498,-0.02210066897233054,1417.2771997070313,1441.3746472167968,-24.097447509765516,56.132488569007315
